keyword,sample,description
man,man -t man | ps2pdf - > man.pdf,生成一个PDF格式的帮助文件
which,which command,显示命令的完整路径名
time,time command,计算命令运行的时间
time,time cat,开始计时. Ctrl-d停止。参见sw
nice,nice info,运行一个低优先级命令（这里是info）
renice,renice 19 -p $$,使脚本运行于低优先级。用于非交互任务。
cd,cd -,回到前一目录
cd,cd,回到用户目录
cd,(cd dir && command),进入目录dir，执行命令command然后回到当前目录
pushd,pushd .,将当前目录压入栈，以后你可以使用popd回到此目录
alias,alias l='ls -l --color=auto',单字符文件列表命令
ls,ls -lrt,按日期显示文件. 参见newest
ls,ls /usr/bin | pr -T9 -W$COLUMNS,在当前终端宽度上打印9列输出
find,find -name '*.[ch]' | xargs grep -E 'expr',在当前目录及其子目录下所有.c和.h文件中寻找'expr'. 参见findrepo
find,find -type f -print0 | xargs -r0 grep -F 'example',在当前目录及其子目录中的常规文件中查找字符串'example'
find,find -maxdepth 1 -type f | xargs grep -F 'example',在当前目录下查找字符串'example'
find,find -maxdepth 1 -type d | while read dir; do echo $dir; echo cmd2; done,对每一个找到的文件执行多个命令(使用while循环)
find,find -type f ! -perm -444,寻找所有不可读的文件(对网站有用)
find,find -type d ! -perm -111,寻找不可访问的目录(对网站有用)
locate,locate -r 'file[^/]*\.txt',使用locate 查找所有符合*file*.txt的文件
look,look reference,在（有序）字典中快速查找
grep ,grep --color reference /usr/share/dict/words,使字典中匹配的正则表达式高亮
gpg,gpg -c file,文件加密
gpg,gpg file.gpg,文件解密
tar,tar -c dir/ | bzip2 > dir.tar.bz2,将目录dir/压缩打包
bzip2,bzip2 -dc dir.tar.bz2 | tar -x,展开压缩包 (对tar.gz文件使用gzip而不是bzip2)
tar,tar -c dir/ | gzip | gpg -c | ssh user@remote 'dd of=dir.tar.gz.gpg',目录dir/压缩打包并放到远程机器上
find,find dir/ -name '*.txt' | tar -c --files-from=- | bzip2 > dir_txt.tar.bz2,将目录dir/及其子目录下所有.txt文件打包
find,find dir/ -name '*.txt' | xargs cp -a --target-directory=dir_txt/ --parents,将目录dir/及其子目录下所有.txt按照目录结构拷贝到dir_txt/
tar,( tar -c /dir/to/copy ) | ( cd /where/to/ && tar -x -p ),拷贝目录copy/到目录/where/to/并保持文件属性
cd,( cd /dir/to/copy && tar -c . ) | ( cd /where/to/ && tar -x -p ),拷贝目录copy/下的所有文件到目录/where/to/并保持文件属性
tar,( tar -c /dir/to/copy ) | ssh -C user@remote 'cd /where/to/ && tar -x -p',拷贝目录copy/到远程目录/where/to/并保持文件属性
dd,dd bs=1M if=/dev/sda | gzip | ssh user@remote 'dd of=sda.gz',将整个硬盘备份到远程机器上
rsync,rsync -P rsync://rsync.server.com/path/to/file file,只获取diffs.当下载有问题时可以作多次
rsync,rsync --bwlimit=1000 fromfile tofile,有速度限制的本地拷贝，对I/O有利
rsync,rsync -az -e ssh --delete ~/public_html/ remote.com:'~/public_html',镜像网站(使用压缩和加密)
rsync,rsync -auz -e ssh remote:/dir/ . && rsync -auz -e ssh . remote:/dir/,同步当前目录和远程目录
ssh,ssh $USER@$HOST command,在$Host主机上以$User用户运行命令(默认命令为Shell)
ssh,ssh -f -Y $USER@$HOSTNAME xeyes,在名为$HOSTNAME的主机上以$USER用户运行GUI命令
scp,scp -p -r $USER@$HOST: file dir/,拷贝到$HOST主机$USER'用户的目录下
ssh,ssh -g -L 8080:localhost:80 root@$HOST,由本地主机的8080端口转发到$HOST主机的80端口
ssh,ssh -R 1434:imap:143 root@$HOST,由主机的1434端口转发到imap的143端口
cd,(cd cmdline && wget -nd -pHEKk http://www.pixelbeat.org/cmdline.html),在当前目录中下载指定网页及其相关的文件使其可完全浏览
wget,wget -c http://www.example.com/large.file,继续上次未完的下载
wget,wget -r -nd -np -l1 -A '*.jpg' http://www.example.com/,批量下载文件到当前目录中
wget,wget ftp://remote/file[1-9].iso/,下载FTP站上的整个目录
wgep,wget -q -O- http://www.pixelbeat.org/timeline.html | grep 'a href' | head,直接处理输出
wget,echo 'wget url' | at 01:00,在下午一点钟下载指定文件到当前目录
wgei,wget --limit-rate=20k url,限制下载速度(这里限制到20KB/s)
wge-,wget -nv --spider --force-html -i bookmarks.html,检查文件中的链接是否存在
wge/,wget --mirror http://www.example.com/,更新网站的本地拷贝(可以方便地用于cron)
ethtool,ethtool eth0,显示网卡eth0的状态
ethtool,ethtool --change eth0 autoneg off speed 100 duplex full,手动设制网卡速度
iwconfig,iwconfig eth1,显示无线网卡eth1的状态
iwconfig,iwconfig eth1 rate 1Mb/s fixed,手动设制无线网卡速度
iwlist,iwlist scan,显示无线网络列表
ip,ip link show,显示interface列表
ip,ip link set dev eth0 name wan,重命名eth0为wan
ip,ip link set dev eth0 up,启动interface eth0(或关闭)
ip,ip addr show,显示网卡的IP地址
add,ip addr add 1.2.3.4/24 brd + dev eth0,添加ip和掩码(255.255.255.0)
ip,ip route show,显示路由列表
add,ip route add default via 1.2.3.254,设置默认网关1.2.3.254
dev,tc qdisc add dev lo root handle 1:0 netem delay 20msec,增加20ms传输时间到loopback设备(调试用)
tc,tc qdisc del dev lo root,移除上面添加的传输时间
host,host pixelbeat.org,查寻主机的DNS IP地址
hostname,hostname -i,查寻本地主机的IP地址(同等于host `hostname`)
whois,whois pixelbeat.org,查寻某主机或莫IP地址的whois信息
netstat,netstat -tupl,列出系统中的internet服务
netstat,netstat -tup,列出活跃的连接
smbtree,smbtree,寻找一个windows主机. 参见findsmb
nmblookup,nmblookup -A 1.2.3.4,寻找一个指定ip的windows (netbios)名
smbclient ,smbclient -L windows_box,显示在windows主机或samba服务器上的所有共享
mount,"mount -t smbfs -o fmask=666,guest //windows_box/share /mnt/share",挂载一个windows共享
smbclient,echo 'message' | smbclient -M windows_box,发送一个弹出信息到windows主机(XP sp2默认关闭此功能)
string,sed 's/string1/string2/g',使用string2替换string1
g',sed 's/\(.*\)1/\12/g',将任何以1结尾的字符串替换为以2结尾的字符串
sed,sed '/^ *#/d; /^ *$/d',删除注释和空白行
sed,sed ':a; /\\$/N; s/\\\n//; ta',连接结尾有\的行和其下一行
sed,sed 's/[ \t]*$//',删除每行后的空白
sed,"sed 's/\([\\`\\""$\\\\]\)/\\\1/g'",将所有转义字符之前加上\
